draw_date,session,winning_number
2022-06-19,Evening,1094
2022-06-19,Night,8293
2022-06-20,Midday,5365
2022-06-20,Evening,3646
2022-06-20,Night,6489
2022-06-21,Midday,2308
2022-06-21,Evening,6219
2022-06-21,Night,9184
2022-06-22,Midday,8733
2022-06-22,Evening,4033
2022-06-22,Night,2009
2022-06-23,Midday,7761
2022-06-23,Evening,3995
2022-06-23,Night,3681
2022-06-24,Midday,7080
2022-06-24,Evening,4042
2022-06-24,Night,8558
2022-06-25,Midday,0408
2022-06-25,Evening,0250
2022-06-25,Night,0774
2022-06-26,Midday,8240
2022-06-26,Evening,6156
2022-06-26,Night,3236
2022-06-27,Midday,1362
2022-06-27,Evening,7361
2022-06-27,Night,8878
2022-06-28,Midday,7857
2022-06-28,Evening,3449
2022-06-28,Night,7263
2022-06-29,Midday,3619
2022-06-29,Evening,4044
2022-06-29,Night,1021
2022-06-30,Midday,8850
2022-06-30,Evening,1686
2022-06-30,Night,2886
2022-07-01,Midday,9734
2022-07-01,Evening,3186
2022-07-01,Night,9429
2022-07-02,Midday,2479
2022-07-02,Evening,5398
2022-07-02,Night,3806
2022-07-03,Midday,5430
2022-07-03,Evening,9033
2022-07-03,Night,9872
2022-07-04,Midday,4604
2022-07-04,Evening,6421
2022-07-04,Night,0091
2022-07-05,Midday,7720
2022-07-05,Evening,4441
2022-07-05,Night,5980
2022-07-06,Midday,7433
2022-07-06,Evening,5340
2022-07-06,Night,3040
2022-07-07,Midday,4197
2022-07-07,Evening,5310
2022-07-07,Night,7221
2022-07-08,Midday,9477
2022-07-08,Evening,4919
2022-07-08,Night,0610
2022-07-09,Midday,3137
2022-07-09,Evening,2511
2022-07-09,Night,8526
2022-07-10,Midday,8003
2022-07-10,Evening,3445
2022-07-10,Night,9282
2022-07-11,Midday,4554
2022-07-11,Evening,9346
2022-07-11,Night,2897
2022-07-12,Midday,6884
2022-07-12,Evening,4152
2022-07-12,Night,6076
2022-07-13,Midday,5470
2022-07-13,Evening,1611
2022-07-13,Night,3852
2022-07-14,Midday,1111
2022-07-14,Evening,5713
2022-07-14,Night,8035
2022-07-15,Midday,8680
2022-07-15,Evening,0067
2022-07-15,Night,9924
2022-07-16,Midday,7451
